1020,Detergjentet ,DET,mg/l,0.15,0.15,0.150,0.150,0.150,2,0.15,0.15,0.15,0.150,0.6,0.9,,0.750,,,,,0.3,0.15,0.15,0.200,0.150,0.319,0.900,0.150,0.283,8,0.15,0.15,0.15,0.150,0.15,0.15,,0.150,,,,,0.15,0.15,0.15,0.150,0.150,0.150,0.150,0.150,0.000,8
1021,Joni nitratet ,NO3-,mg/l,4.9,0.15,0.150,2.525,4.900,2,3.2,0.8,4.6,2.867,0.15,2.9,,1.525,,,,,2.4,1.5,10.4,4.767,0.150,3.244,10.400,2.650,3.218,8,5.9,28.3,7.3,13.833,6.9,5.4,,6.150,,,,,10.7,10.6,9.6,10.300,5.400,10.588,28.300,8.450,7.445,8
1022,Azoti i nitrateve,N-NO3-,mg/l N,1.107,0.15,0.150,0.629,1.107,2,0.723,0.181,1.040,0.648,0.15,0.655,,0.403,,,,,0.542,0.339,2.350,1.077,0.150,0.748,2.350,0.599,0.712,8,1.333,6.396,1.650,3.126,1.559,1.220,,1.390,,,,,2.418,2.396,2.170,2.328,1.220,2.393,6.396,1.910,1.683,8
1023,Joni nitrit ,NO2-,mg/l,,0.097,0.097,0.097,0.097,1,0.093,0.0045,0.437,0.178,0.144,0.314,,0.229,,,,,0.244,0.104,0.11,0.153,0.005,0.181,0.437,0.127,0.141,8,0.136,0.113,0.49,0.246,0.342,0.34,,0.341,,,,,0.261,0.087,0.13,0.159,0.087,0.237,0.490,0.199,0.144,8
1024,Azoti i nitriteve,N-NO2-,mg/l N,,0.029,0.029,0.029,0.029,1,0.028,0.0045,0.133,0.055,0.044,0.095,,0.070,,,,,0.074,0.032,0.033,0.046,0.005,0.056,0.133,0.039,0.042,8,0.041,0.034,0.149,0.075,0.104,0.103,,0.104,,,,,0.079,0.026,0.040,0.048,0.026,0.072,0.149,0.060,0.044,8
1025,Joni amonium,NH4+,mg/l,0.102,1.301,0.102,0.702,1.301,2,0.623,0.554,1.143,0.773,6.833,5.4,,6.117,,,,,5.45,5.97,0.46,3.960,0.460,3.304,6.833,3.272,2.830,8,0.493,0.547,0.625,0.555,4.97,4.85,,4.910,,,,,2.15,6.15,1.09,3.130,0.493,2.609,6.150,1.620,2.340,8
1026,Azoti i amoniumit,N-NH4+,mg/l N,0.079,1.012,0.079,0.546,1.012,2,0.485,0.431,0.889,0.602,5.316,4.201,,4.759,,,,,4.240,4.645,0.358,3.081,0.358,2.571,5.316,2.545,2.202,8,0.384,0.426,0.486,0.432,3.867,3.773,,3.820,,,,,1.673,4.785,0.848,2.435,0.384,2.030,4.785,1.260,1.820,8
1027,Azoti total inorganik,ATI,mg/l N,1.187,1.192,1.187,1.189,1.192,2,1.236,0.616,2.062,1.305,5.510,4.952,,5.231,,,,,4.857,5.015,2.742,4.205,0.616,3.374,5.510,3.799,1.936,8,1.758,6.856,2.285,3.633,5.530,5.097,,5.314,,,,,4.170,7.207,3.057,4.811,1.758,4.495,7.207,4.634,2.032,8
1028,Amoniumi i pajonizuar,NH3,mg/l,0.075,0.951,0.075,0.513,0.951,2,0.456,0.405,0.836,0.566,4.997,3.949,,4.473,,,,,3.986,4.366,0.336,2.896,0.336,2.416,4.997,2.393,2.070,8,0.361,0.400,0.457,0.406,3.635,3.547,,3.591,,,,,1.572,4.498,0.797,2.289,0.361,1.908,4.498,1.185,1.711,8
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,0.061,0.783,0.061,0.422,0.783,2,0.375,0.333,0.688,0.465,4.113,3.250,,3.681,,,,,3.280,3.593,0.277,2.383,0.277,1.989,4.113,1.969,1.703,8,0.297,0.329,0.376,0.334,2.991,2.919,,2.955,,,,,1.294,3.702,0.656,1.884,0.297,1.571,3.702,0.975,1.408,8
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.077,0.45,0.077,0.264,0.450,2,0.177,0.138,0.446,0.254,0.201,0.48,,0.341,,,,,0.715,0.74,0.31,0.588,0.138,0.401,0.740,0.378,0.236,8,0.219,0.16,0.146,0.175,0.372,0.451,,0.412,,,,,0.45,0.63,0.488,0.523,0.146,0.365,0.630,0.411,0.174,8
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.025,0.147,0.025,0.086,0.147,2,0.058,0.045,0.145,0.083,0.066,0.156,,0.111,,,,,0.233,0.241,0.101,0.192,0.045,0.131,0.241,0.123,0.077,8,0.071,0.052,0.048,0.057,0.121,0.147,,0.134,,,,,0.147,0.205,0.159,0.170,0.048,0.119,0.205,0.134,0.057,8
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,0.08,0.096,0.203,0.126,0.113,0.18,,0.147,,,,,0.341,0.44,0.11,0.297,0.080,0.195,0.440,0.147,0.130,8,0.16,0.11,0.052,0.107,0.132,0.154,,0.143,,,,,0.31,0.25,0.179,0.246,0.052,0.168,0.310,0.157,0.081,8
1035,Joni sulfat ,SO42-,mg/l,12.5,8.4,8.400,10.450,12.500,2,12.2,16.6,24.3,17.700,20,18.4,,19.200,,,,,24.8,25.3,54.8,34.967,12.200,24.550,54.800,22.150,13.038,8,27.3,28,26.4,27.233,31.1,17.7,,24.400,,,,,40.9,47.4,38.6,42.300,17.700,32.175,47.400,29.550,9.520,8
1036,Fortësia e përgjithshme ,Fp,0dH,9.1,12.60,9.100,10.850,12.600,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,5.6,6.30,5.600,5.950,6.300,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,3.5,6.30,3.500,4.900,6.300,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,40.04,45.05,40.040,42.543,45.045,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,15.19,27.34,15.190,21.266,27.342,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,3,4.11,3.000,3.555,4.110,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,3.000,4.110,3.000,3.555,4.110,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,183,250.7,183.000,216.855,250.710,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
