1014,Shpenzimi kimik i oksigjenit,SHKO,mg/l O2,1.6,3.5,1.600,2.550,3.500,2,9.3,5.8,3.6,6.233,,10.0,,10.000,,,5.4,5.400,6.3,3.6,4.9,4.933,3.600,6.113,10.000,5.600,2.391,8,4.6,17.4,9.1,10.367,,5.7,,5.700,,,54.5,54.500,23.1,4,43.1,23.400,4.000,20.188,54.500,13.250,19.110,8,6.4,51,33.5,30.300,,4.1,,4.100,,,52.5,52.500,30.0,5.5,49,28.167,4.100,29.000,52.500,31.750,21.181,8
1015,Shpenzimi kimik i oksigjenit me dikromat,SHKO-Cr,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1016,Shpenzimi biokimik i oksigjenit ,SHBO5,mg/l O2,,,0.000,,0.000,0,0.6,2.5,2.2,1.767,,4.9,,4.900,,,2,2.000,3.0,1.4,1.9,2.100,0.600,2.313,4.900,2.100,1.268,8,1.7,7.9,1.4,3.667,,2.4,,2.400,,,25.6,25.600,9.8,1.5,3.1,4.800,1.400,6.675,25.600,2.750,8.279,8,2.5,4,6.8,4.433,,0.9,,0.900,,,24.8,24.800,10.8,2.2,2.1,5.033,0.900,6.763,24.800,3.250,7.968,8
1017,Shpenzimi biokimik i oksigjenit ,SHBO7,mg/l O2,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1018,Karboni organik total ,KOT,mg/l C,0.4,0.5,0.400,0.450,0.500,2,2.8,1.7,1.7,2.067,,3.8,,3.800,,,1.4,1.400,2.5,1,1.4,1.633,1.000,2.038,3.800,1.700,0.927,8,1.2,5.3,2.7,3.067,,1.6,,1.600,,,17.2,17.200,7.2,1.1,13.5,7.267,1.100,6.225,17.200,4.000,6.101,8,1.8,16,10.4,9.400,,1.1,,1.100,,,16.4,16.400,9.3,1.6,15.4,8.767,1.100,9.000,16.400,9.850,6.717,8
1019,Meteriet totale të suspenduara ,MTS,mg/l,13.2,0.15,0.150,6.675,13.200,2,3.8,11,20.4,11.733,,0.15,,0.150,,,42.8,42.800,21.10,22,20,21.033,0.150,17.656,42.800,20.200,13.195,8,36,17.2,23,25.400,,39.5,,39.500,,,4.20,4.200,22.20,25.8,12,20.000,4.200,22.488,39.500,22.600,11.685,8,39,0.15,28.4,22.517,,32.0,,32.000,,,0.15,0.150,20.20,23.6,11,18.267,0.150,19.313,39.000,21.900,14.411,8
1020,Detergjentet ,DET,mg/l,0.15,0.15,0.150,0.150,0.150,2,0.15,0.15,1.5,0.600,,1.4,,1.400,,,0.15,0.150,1,0.15,0.15,0.433,0.150,0.581,1.500,0.150,0.612,8,0.15,0.15,0.15,0.150,,0.15,,0.150,,,0.2,0.200,0.15,0.15,0.15,0.150,0.150,0.156,0.200,0.150,0.018,8,0.15,0.15,0.15,0.150,,0.15,,0.150,,,0.15,0.150,0.15,0.15,0.15,0.150,0.150,0.150,0.150,0.150,0.000,8
1021,Joni nitratet ,NO3-,mg/l,0.15,0.15,0.150,0.150,0.150,2,4.7,3,0.9,2.867,,0.15,,0.150,,,9.6,9.600,16.9,6.9,5.9,9.900,0.150,6.006,16.900,5.300,5.392,8,5.1,9.4,9,7.833,,8.7,,8.700,,,5.6,5.600,7.8,6.4,5.3,6.500,5.100,7.163,9.400,7.100,1.769,8,2.8,5.5,9.3,5.867,,9.5,,9.500,,,9.6,9.600,9.5,4.8,4.3,6.200,2.800,6.913,9.600,7.400,2.841,8
1022,Azoti i nitrateve,N-NO3-,mg/l N,0.15,0.15,0.150,0.150,0.150,2,1.062,0.678,0.203,0.648,,0.15,,0.150,,,2.170,2.170,3.819,1.559,1.333,2.237,0.150,1.372,3.819,1.198,1.201,8,1.153,2.124,2.034,1.770,,1.966,,1.966,,,1.266,1.266,1.763,1.446,1.198,1.469,1.153,1.619,2.124,1.605,0.400,8,0.633,1.243,2.102,1.326,,2.147,,2.147,,,2.170,2.170,2.147,1.085,0.972,1.401,0.633,1.562,2.170,1.672,0.642,8
1023,Joni nitrit ,NO2-,mg/l,0.0045,0.184,0.005,0.094,0.184,2,0.121,0.059,0.427,0.202,,0.197,,0.197,,,0.304,0.304,0.245,0.081,0.101,0.142,0.059,0.192,0.427,0.159,0.128,8,0.166,0.55,0.957,0.558,,1.101,,1.101,,,0.495,0.495,0.295,0.137,0.148,0.193,0.137,0.481,1.101,0.395,0.374,8,0.157,0.205,0.165,0.176,,0.871,,0.871,,,0.546,0.546,0.239,0.13,0.148,0.172,0.130,0.308,0.871,0.185,0.264,8
1024,Azoti i nitriteve,N-NO2-,mg/l N,0.0045,0.056,0.005,0.030,0.056,2,0.037,0.018,0.130,0.062,,0.060,,0.060,,,0.092,0.092,0.074,0.025,0.031,0.043,0.018,0.058,0.130,0.048,0.039,8,0.050,0.167,0.291,0.170,,0.335,,0.335,,,0.150,0.150,0.090,0.042,0.045,0.059,0.042,0.146,0.335,0.120,0.114,8,0.048,0.062,0.050,0.053,,0.265,,0.265,,,0.166,0.166,0.073,0.040,0.045,0.052,0.040,0.094,0.265,0.056,0.080,8
1025,Joni amonium,NH4+,mg/l,0.101,1.18,0.101,0.641,1.180,2,0.713,0.358,0.715,0.595,,4.551,,4.551,,,6.72,6.720,6.926,4.452,0.477,3.952,0.358,3.114,6.926,2.584,2.865,8,1.32,1.191,1.139,1.217,,5.151,,5.151,,,9.805,9.805,8.526,13.9,0.912,7.779,0.912,5.243,13.900,3.236,4.985,8,0.884,0.633,0.296,0.604,,4.981,,4.981,,,7.801,7.801,7.984,10.34,0.921,6.415,0.296,4.230,10.340,2.951,4.059,8
1026,Azoti i amoniumit,N-NH4+,mg/l N,0.079,0.918,0.079,0.498,0.918,2,0.555,0.279,0.556,0.463,,3.541,,3.541,,,5.228,5.228,5.388,3.464,0.371,3.074,0.279,2.423,5.388,2.010,2.229,8,1.027,0.927,0.886,0.947,,4.007,,4.007,,,7.628,7.628,6.633,10.814,0.710,6.052,0.710,4.079,10.814,2.517,3.878,8,0.688,0.492,0.230,0.470,,3.875,,3.875,,,6.069,6.069,6.212,8.045,0.717,4.991,0.230,3.291,8.045,2.296,3.158,8
1027,Azoti total inorganik,ATI,mg/l N,0.233,1.124,0.233,0.679,1.124,2,1.654,0.974,0.889,1.173,,3.751,,3.751,,,7.490,7.490,9.282,5.048,1.735,5.355,0.889,3.853,9.282,2.743,3.174,8,2.230,3.218,3.211,2.886,,6.308,,6.308,,,9.044,9.044,8.486,12.302,1.952,7.580,1.952,5.844,12.302,4.763,3.802,8,1.368,1.798,2.382,1.849,,6.287,,6.287,,,8.405,8.405,8.431,9.169,1.733,6.444,1.368,4.947,9.169,4.335,3.451,8
1028,Amoniumi i pajonizuar,NH3,mg/l,0.074,0.863,0.074,0.468,0.863,2,0.521,0.262,0.523,0.435,,3.328,,3.328,,,4.914,4.914,5.065,3.256,0.349,2.890,0.262,2.277,5.065,1.889,2.095,8,0.965,0.871,0.833,0.890,,3.767,,3.767,,,7.171,7.171,6.235,10.165,0.667,5.689,0.667,3.834,10.165,2.366,3.646,8,0.646,0.463,0.216,0.442,,3.643,,3.643,,,5.705,5.705,5.839,7.562,0.674,4.691,0.216,3.093,7.562,2.158,2.968,8
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,0.061,0.710,0.061,0.386,0.710,2,0.429,0.215,0.430,0.358,,2.739,,2.739,,,4.045,4.045,4.169,2.680,0.287,2.378,0.215,1.874,4.169,1.555,1.724,8,0.794,0.717,0.686,0.732,,3.100,,3.100,,,5.901,5.901,5.132,8.366,0.549,4.682,0.549,3.156,8.366,1.947,3.000,8,0.532,0.381,0.178,0.364,,2.998,,2.998,,,4.695,4.695,4.805,6.223,0.554,3.861,0.178,2.546,6.223,1.776,2.443,8
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.019,0.251,0.019,0.135,0.251,2,0.201,0.257,0.72,0.393,,1.081,,1.081,,,0.996,0.996,0.555,0.413,0.25,0.406,0.201,0.559,1.081,0.484,0.343,8,0.308,0.25,0.54,0.366,,0.481,,0.481,,,1.727,1.727,0.815,1.08,0.153,0.683,0.153,0.669,1.727,0.511,0.526,8,0.233,0.288,0.162,0.228,,0.75,,0.750,,,1.357,1.357,0.325,0.42,0.233,0.326,0.162,0.471,1.357,0.307,0.402,8
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.006,0.082,0.006,0.044,0.082,2,0.066,0.084,0.235,0.128,,0.352,,0.352,,,0.325,0.325,0.181,0.135,0.082,0.132,0.066,0.182,0.352,0.158,0.112,8,0.100,0.082,0.176,0.119,,0.157,,0.157,,,0.563,0.563,0.266,0.352,0.050,0.223,0.050,0.218,0.563,0.166,0.171,8,0.076,0.094,0.053,0.074,,0.245,,0.245,,,0.442,0.442,0.106,0.137,0.076,0.106,0.053,0.154,0.442,0.100,0.131,8
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,0.14,0.14,0.26,0.180,,0.391,,0.391,,,0.424,0.424,0.281,0.17,0.11,0.187,0.110,0.240,0.424,0.215,0.120,8,0.23,0.1,0.38,0.237,,0.401,,0.401,,,0.631,0.631,0.411,0.36,0.073,0.281,0.073,0.323,0.631,0.370,0.183,8,0.155,0.1,0.075,0.110,,0.33,,0.330,,,0.501,0.501,0.191,0.2,0.095,0.162,0.075,0.206,0.501,0.173,0.144,8
1035,Joni sulfat ,SO42-,mg/l,7.7,14.5,7.700,11.100,14.500,2,14,11.8,12.9,12.900,,9.7,,9.700,,,20.5,20.500,28.6,26.8,14,23.133,9.700,17.288,28.600,14.000,7.145,8,19.8,23.9,31.8,25.167,,35.5,,35.500,,,47.3,47.300,34.5,30.6,22,29.033,19.800,30.675,47.300,31.200,8.904,8,42.2,46.9,58.6,49.233,,73,,73.000,,,66.2,66.200,68.2,60.7,28,52.300,28.000,55.475,73.000,59.650,15.240,8
1036,Fortësia e përgjithshme ,Fp,0dH,7.98,9.24,7.980,8.610,9.240,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,6.3,7.49,6.300,6.895,7.490,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,1.68,1.75,1.680,1.715,1.750,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,45.045,53.55,45.045,49.299,53.554,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,7.2912,7.60,7.291,7.443,7.595,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,2.52,3.19,2.520,2.855,3.190,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,2.520,3.190,2.520,2.855,3.190,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,153.72,194.6,153.720,174.155,194.590,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
