1019,Meteriet totale të suspenduara ,MTS,mg/l,0.15,,0.150,0.150,0.150,1,17.6,0.15,20.8,12.850,0.15,11.3,0.15,3.867,,,13.10,13.100,24.6,0.15,13.7,12.817,0.150,10.170,24.600,12.200,9.430,10,34.5,0.15,21,18.550,9.1,26.6,22.40,19.367,,,28.80,28.800,30,0.15,20.4,16.850,0.150,19.310,34.500,21.700,12.203,10
1020,Detergjentet ,DET,mg/l,0.15,,0.150,0.150,0.150,1,0.8,1.0,0.5,0.767,0.15,0.15,0.15,0.150,,,0.15,0.150,0.5,0.15,0.2,0.283,0.150,0.375,1.000,0.175,0.314,10,0.15,0.15,0.15,0.150,0.15,0.9,0.15,0.400,,,0.15,0.150,0.15,0.15,0.15,0.150,0.150,0.225,0.900,0.150,0.237,10
1021,Joni nitratet ,NO3-,mg/l,4.8,,4.800,4.800,4.800,1,0.15,0.15,0.15,0.150,1.8,5.8,0.15,2.583,,,8.8,8.800,0.15,0.15,1.1,0.467,0.150,1.840,8.800,0.150,3.015,10,4.4,3.5,6.5,4.800,0.15,0.7,4.2,1.683,,,6.9,6.900,9.3,6.1,9.4,8.267,0.150,5.115,9.400,5.250,3.163,10
1022,Azoti i nitrateve,N-NO3-,mg/l N,1.085,,1.085,1.085,1.085,1,0.15,0.15,0.15,0.150,0.407,1.311,0.15,0.623,,,1.989,1.989,0.15,0.15,0.249,0.183,0.150,0.486,1.989,0.150,0.639,10,0.994,0.791,1.469,1.085,0.15,0.158,0.949,0.419,,,1.559,1.559,2.102,1.379,2.124,1.868,0.150,1.168,2.124,1.187,0.695,10
1023,Joni nitrit ,NO2-,mg/l,,,0.000,,0.000,0,0.046,0.0045,0.12,0.057,0.05,0.581,0.02,0.217,,,0.259,0.259,0.146,0.06,0.093,0.100,0.005,0.138,0.581,0.077,0.172,10,0.297,0.097,0.467,0.287,0.225,0.08,0.28,0.195,,,0.126,0.126,0.193,0.165,0.164,0.174,0.080,0.209,0.467,0.179,0.115,10
1024,Azoti i nitriteve,N-NO2-,mg/l N,,,0.000,,0.000,0,0.014,0.0045,0.036,0.018,0.015,0.177,0.006,0.066,,,0.079,0.079,0.044,0.018,0.028,0.030,0.005,0.042,0.177,0.023,0.052,10,0.090,0.029,0.142,0.087,0.068,0.024,0.085,0.059,,,0.038,0.038,0.059,0.050,0.050,0.053,0.024,0.064,0.142,0.054,0.035,10
1025,Joni amonium,NH4+,mg/l,0.043,,0.043,0.043,0.043,1,0.639,0.179,0.837,0.552,4.296,5.75,5.408,5.151,,,6.386,6.386,8.452,2.32,0.83,3.867,0.179,3.510,8.452,3.308,2.925,10,1.816,0.72,0.988,1.175,4.358,3.04,5.473,4.290,,,2.401,2.401,8.997,13.2,2.134,8.110,0.720,4.313,13.200,2.721,3.979,10
1026,Azoti i amoniumit,N-NH4+,mg/l N,0.033,,0.033,0.033,0.033,1,0.497,0.139,0.651,0.429,3.342,4.474,4.207,4.008,,,4.968,4.968,6.576,1.805,0.646,3.009,0.139,2.731,6.576,2.574,2.276,10,1.413,0.560,0.769,0.914,3.391,2.365,4.258,3.338,,,1.868,1.868,7.000,10.270,1.660,6.310,0.560,3.355,10.270,2.117,3.096,10
1027,Azoti total inorganik,ATI,mg/l N,1.118,,1.118,1.118,1.118,1,0.661,0.294,0.838,0.598,3.764,5.961,4.364,4.696,,,7.036,7.036,6.770,1.973,0.923,3.222,0.294,3.258,7.036,2.869,2.664,10,2.498,1.381,2.380,2.086,3.609,2.548,5.292,3.816,,,3.466,3.466,9.160,11.698,3.835,8.231,1.381,4.587,11.698,3.537,3.307,10
1028,Amoniumi i pajonizuar,NH3,mg/l,0.031,,0.031,0.031,0.031,1,0.467,0.131,0.612,0.403,3.142,4.205,3.955,3.767,,,4.670,4.670,6.181,1.697,0.607,2.828,0.131,2.567,6.181,2.419,2.139,10,1.328,0.527,0.723,0.859,3.187,2.223,4.003,3.138,,,1.756,1.756,6.580,9.653,1.561,5.931,0.527,3.154,9.653,1.990,2.910,10
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,0.026,,0.026,0.026,0.026,1,0.385,0.108,0.504,0.332,2.586,3.461,3.255,3.100,,,3.844,3.844,5.087,1.396,0.500,2.328,0.108,2.112,5.087,1.991,1.761,10,1.093,0.433,0.595,0.707,2.623,1.830,3.294,2.582,,,1.445,1.445,5.415,7.945,1.284,4.881,0.433,2.596,7.945,1.637,2.395,10
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.023,,0.023,0.023,0.023,1,0.18,0.095,0.223,0.166,0.108,0.75,0.197,0.352,,,1.223,1.223,0.655,0.1,0.275,0.343,0.095,0.381,1.223,0.210,0.375,10,0.66,0.206,0.545,0.470,0.319,0.03,0.317,0.222,,,0.275,0.275,0.231,0.534,0.533,0.433,0.030,0.365,0.660,0.318,0.196,10
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.007,,0.007,0.007,0.007,1,0.059,0.031,0.073,0.054,0.035,0.245,0.064,0.115,,,0.399,0.399,0.214,0.033,0.090,0.112,0.031,0.124,0.399,0.068,0.122,10,0.215,0.067,0.178,0.153,0.104,0.010,0.103,0.072,,,0.090,0.090,0.075,0.174,0.174,0.141,0.010,0.119,0.215,0.104,0.064,10
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,0.1,0.086,0.14,0.109,0.035,0.34,0.092,0.156,,,0.521,0.521,0.241,0.087,0.1,0.143,0.035,0.174,0.521,0.100,0.151,10,0.26,0.11,0.25,0.207,0.196,0.028,0.31,0.178,,,0.135,0.135,0.101,0.34,0.2,0.214,0.028,0.193,0.340,0.198,0.099,10
1035,Joni sulfat ,SO42-,mg/l,9.1,,9.100,9.100,9.100,1,11.3,18.8,32.6,20.900,18.9,72.2,11.9,34.333,,,91.3,91.300,6.0,10.1,14.3,10.133,6.000,28.740,91.300,16.550,29.200,10,51.6,34.2,103.2,63.000,35.6,15.8,56.3,35.900,,,9.8,9.800,77.8,74.7,63.4,71.967,9.800,52.240,103.200,53.950,29.112,10
1036,Fortësia e përgjithshme ,Fp,0dH,8.4,,8.400,8.400,8.400,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,7.42,,7.420,7.420,7.420,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,0.98,,0.980,0.980,0.980,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,53.053,,53.053,53.053,53.053,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,4.2532,,4.253,4.253,4.253,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,2.83,,2.830,2.830,2.830,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,2.830,,2.830,2.830,2.830,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,172.63,,172.630,172.630,172.630,1,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
