1019,Meteriet totale të suspenduara ,MTS,mg/l,0.15,0.15,0.150,0.150,0.150,2,25.4,19,15.8,20.067,13.2,41.50,,Err:522,,,5.60,5.600,,18.5,8.2,13.350,Err:522,Err:522,Err:522,Err:522,13.034,9
1020,Detergjentet ,DET,mg/l,0.15,0.15,0.150,0.150,0.150,2,0.8,1.4,1.3,1.167,1.3,5.5,,Err:522,,,0.15,0.150,,0.15,0.15,0.150,Err:522,Err:522,Err:522,Err:522,2.157,9
1021,Joni nitratet ,NO3-,mg/l,0.15,0.15,0.150,0.150,0.150,2,1.4,0.15,0.15,0.567,0.7,0.15,,Err:522,,,0.15,0.150,,3.7,3,3.350,Err:522,Err:522,Err:522,Err:522,1.375,9
1022,Azoti i nitrateve,N-NO3-,mg/l N,0.15,0.15,0.150,0.150,0.150,2,0.316,0.15,0.15,0.205,0.158,0.15,,0.154,,,0.15,0.150,,0.836,0.678,0.757,0.150,0.324,0.836,0.154,0.277,8
1023,Joni nitrit ,NO2-,mg/l,,0.0045,0.005,0.005,0.005,1,0.115,0.856,0.291,0.421,0.261,0.078,,Err:522,,,0.378,0.378,,0.157,,0.157,Err:522,Err:522,Err:522,Err:522,0.258,8
1024,Azoti i nitriteve,N-NO2-,mg/l N,,0.0045,0.005,0.005,0.005,1,0.035,0.260,0.088,0.128,0.079,0.024,,0.052,,,0.115,0.115,,0.048,,0.048,0.024,0.093,0.260,0.079,0.080,7
1025,Joni amonium,NH4+,mg/l,0.164,0.133,0.133,0.149,0.164,2,0.76,0.106,0.998,0.621,2.97,2.176,,2.573,,,2.484,2.484,,3.28,,3.280,0.106,1.825,3.280,2.176,1.208,7
1026,Azoti i amoniumit,N-NH4+,mg/l N,0.128,0.103,0.103,0.116,0.128,2,0.591,0.082,0.776,0.483,2.311,1.693,,2.002,,,1.933,1.933,,2.552,,2.552,0.082,1.420,2.552,1.693,0.940,7
1027,Azoti total inorganik,ATI,mg/l N,0.278,0.258,0.258,0.268,0.278,2,0.943,0.493,1.015,0.817,2.548,1.867,,2.207,,,2.197,2.197,,3.436,0.678,2.057,0.493,1.647,3.436,1.441,1.037,8
1028,Amoniumi i pajonizuar,NH3,mg/l,0.120,0.097,0.097,0.109,0.120,2,0.556,0.078,0.730,0.454,2.172,1.591,,1.882,,,1.817,1.817,,2.399,,2.399,0.078,1.335,2.399,1.591,0.884,7
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,0.099,0.080,0.080,0.089,0.099,2,0.457,0.064,0.601,0.374,1.788,1.310,,1.549,,,1.495,1.495,,1.974,,1.974,0.064,1.098,1.974,1.310,0.727,7
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.048,0.095,0.048,0.072,0.095,2,0.315,0.189,0.36,0.288,0.304,0.42,,0.362,,,0.75,0.750,,0.63,,0.630,0.189,0.424,0.750,0.360,0.198,7
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.016,0.031,0.016,0.023,0.031,2,0.103,0.062,0.117,0.094,0.099,0.137,,0.118,,,0.245,0.245,,0.205,,0.205,0.062,0.138,0.245,0.117,0.064,7
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,0.223,0.094,0.24,0.186,0.13,0.221,,0.176,,,0.381,0.381,,0.22,,0.220,0.094,0.216,0.381,0.221,0.091,7
1035,Joni sulfat ,SO42-,mg/l,9.1,10.5,9.100,9.800,10.500,2,17.7,15.7,11.1,14.833,7.6,40.3,,23.950,,,60,60.000,,10,,10.000,7.600,23.200,60.000,15.700,19.567,7
1036,Fortësia e përgjithshme ,Fp,0dH,2.8,3.92,2.800,3.360,3.920,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,2.24,2.80,2.240,2.520,2.800,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,0.56,1.12,0.560,0.840,1.120,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,16.016,20.02,16.016,18.018,20.020,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,2.4304,4.86,2.430,3.646,4.861,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,0.8,1.80,0.800,1.300,1.800,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,0.800,1.800,0.800,1.300,1.800,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,48.8,109.8,48.800,79.300,109.800,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
