1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.055,0.013,0.013,0.034,0.055,2,0.060,0.037,0.098,0.065,0.141,0.175,,0.158,,,,,,0.119,,0.119,0.037,0.105,0.175,0.109,0.051,6
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,0.08,0.05,0.28,0.137,0.156,0.271,,0.214,,,,,,0.21,,0.210,0.050,0.175,0.280,0.183,0.096,6
1035,Joni sulfat ,SO42-,mg/l,20.6,,20.600,20.600,20.600,1,17.5,14.7,24.5,18.900,17.8,32.5,,25.150,,,,,,8.15,,8.150,8.150,19.192,32.500,17.650,8.393,6
1036,Fortësia e përgjithshme ,Fp,0dH,14,12.20,12.200,13.100,14.000,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,10.5,10.80,10.500,10.650,10.800,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,3.5,1.40,1.400,2.450,3.500,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,75.075,77.22,75.075,76.148,77.220,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,15.19,6.08,6.076,10.633,15.190,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,4.56,4.28,4.280,4.420,4.560,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,4.560,4.280,4.280,4.420,4.560,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,278.16,261.1,261.080,269.620,278.160,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
