1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.095,0.146,0.095,0.120,0.146,2,0.231,0.137,0.083,0.150,,0.238,,0.238,,,0.431,0.431,0.155,0.202,,0.178,0.083,0.211,0.431,0.202,0.112,7
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,0.26,0.12,0.2,0.193,,0.62,,0.620,,,0.541,0.541,0.33,0.34,,0.335,0.120,0.344,0.620,0.330,0.179,7
1035,Joni sulfat ,SO42-,mg/l,22,,22.000,22.000,22.000,1,79.1,48.3,110,79.133,,172.2,,172.200,,,64,64.000,82.8,72.9,,77.850,48.300,89.900,172.200,79.100,40.896,7
1036,Fortësia e përgjithshme ,Fp,0dH,11.19,18.20,11.190,14.695,18.200,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,8.4,12.60,8.400,10.500,12.600,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,2.79,5.60,2.790,4.195,5.600,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,60.06,90.09,60.060,75.075,90.090,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,12.1086,24.30,12.109,18.206,24.304,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,3.84,6.23,3.840,5.035,6.230,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,3.840,6.23,3.840,5.035,6.230,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,234.24,380.0,234.240,307.135,380.030,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
