1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.004,0.069,0.004,0.037,0.069,2,0.036,0.047,0.111,0.065,,0.163,,0.163,,,0.206,0.206,0.075,0.088,0.065,0.076,0.036,0.099,0.206,0.082,0.059,8
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,0.078,0.13,0.124,0.111,,0.181,,0.181,,,0.27,0.270,0.105,0.094,0.087,0.095,0.078,0.134,0.270,0.115,0.064,8
1035,Joni sulfat ,SO42-,mg/l,20,27.1,20.000,23.550,27.100,2,58.4,69.5,97.7,75.200,,104.8,,104.800,,,123.6,123.600,,101,47.5,74.250,47.500,86.071,123.600,97.700,27.825,7
1036,Fortësia e përgjithshme ,Fp,0dH,11.76,14.56,11.760,13.160,14.560,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,8.4,7.98,7.980,8.190,8.400,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,3.36,6.58,3.360,4.970,6.580,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,60.06,57.06,57.057,58.559,60.060,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,14.5824,28.56,14.582,21.570,28.557,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,3.64,4.56,3.640,4.100,4.560,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,3.640,4.560,3.640,4.100,4.560,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,222.04,278.2,222.040,250.100,278.160,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
